# Định dạng mỗi dòng: ÂM HÁN VIỆT,TIẾNG NHẬT (CÁCH ĐỌC),NGHĨA TIẾNG VIỆT
# Cách đọc là TUỲ CHỌN: viết trong ngoặc ở cuối cột tiếng Nhật.
#   TỊCH,席 (せき),chỗ ngồi/ ghế
# Phần trong ngoặc được tách thành cột riêng, không tính là một phần của từ —
# khi luyện gõ đáp án vẫn chỉ cần gõ 席.
# Câu ví dụ cũng TUỲ CHỌN: viết sau dấu | ở cuối cột nghĩa.
#   ĐÀO,逃げます (にげます),chạy trốn/ bỏ chạy|犯人は逃げました。
# Dùng dấu | chứ không thêm dấu phẩy, để cột nghĩa vẫn chứa được dấu phẩy.
# Dòng bắt đầu bằng # là ghi chú, sẽ bị bỏ qua.
#
# NGUỒN: 皆の日本語 II bản tiếng Việt, bài 42 — mục I. Từ vựng (tr. 104-105),
# gồm cả phần 〈会話〉 và 〈読み物〉. Danh sách cũ ở đây chép nhầm sang bài 43
# (輸出が増えます…収入) nên đã thay toàn bộ.
#
# Sách viết một số từ bằng kana cho dễ đọc; ở đây chép về DẠNG ĐẦY ĐỦ — có chữ
# Hán thì viết chữ Hán, có âm Hán Việt thì ghi âm — cách đọc kana giữ trong ngoặc
# nên vẫn học được như sách: めん→麺, やかん→薬缶, ふた→蓋, ふろしき→風呂敷,
# そろばん→算盤, どんぶり→丼, なぜ→何故, どのくらい→どの位, カップめん→カップ麺,
# 子ども→子供.
#
# 7 dòng vẫn trống ô âm Hán Việt vì không có dạng chữ Hán nào để lấy âm: 4 mục
# katakana (アパート, ミキサー, ローン, ベートーベン), 3 tên riêng
# (チキンラーメン, エリーゼのために, こどもニュース), ある～ (或る là 表外),
# ～によって (mẫu ngữ pháp, không viết bằng chữ Hán) và のし袋 (熨斗 là 表外).
# Hai chiều luyện Nhật→Hán Việt và Hán Việt→Nhật bỏ qua đúng mấy dòng đó;
# `filterWords` trong lesson-detail.ts lo phần này.
BAO,包みます (つつみます),gói|プレゼントをきれいな紙で包みます。
PHÍ,沸かします (わかします),đun sôi|お茶を飲むために、お湯を沸かします。
HỖN,混ぜます (まぜます),trộn|材料をよく混ぜてください。
KẾ TOÁN,計算します (けいさんします),tính/ tính toán|算盤は計算するのに使います。
TỊNH,並びます (ならびます),xếp hàng|切符を買うために並んでいます。
TRƯỢNG PHU,丈夫 (じょうぶ),chắc chắn|この袋は丈夫で、荷物を入れるのに便利です。
,アパート,phòng trọ|大学の近くのアパートに住んでいます。
BIỆN HỘ SĨ,弁護士 (べんごし),luật sư|弁護士になるために、法律を勉強しています。
ÂM NHẠC GIA,音楽家 (おんがくか),nhạc sĩ/ người hoạt động trong lĩnh vực âm nhạc|ベートーベンは有名な音楽家です。
TỬ CUNG,子供たち (こどもたち),những đứa trẻ/ bọn trẻ|子供たちのために公園を作りました。
TỰ NHIÊN,自然 (しぜん),tự nhiên|自然を守るために、何ができますか。
GIÁO DỤC,教育 (きょういく),giáo dục|子どもの教育のためにお金をためています。
VĂN HÓA,文化 (ぶんか),văn hóa|日本の文化を知るために、お茶を習っています。
XÃ HỘI,社会 (しゃかい),xã hội|大学を出て、社会に出ます。
CHÍNH TRỊ,政治 (せいじ),chính trị|新聞で政治のニュースを読みます。
PHÁP LUẬT,法律 (ほうりつ),pháp luật|法律を守らなければなりません。
CHIẾN TRANH,戦争 (せんそう),chiến tranh|戦争のない世界にしたいです。
BÌNH HÒA,平和 (へいわ),hòa bình|平和のために働いています。
MỤC ĐÍCH,目的 (もくてき),mục đích|旅行の目的は何ですか。
LUẬN VĂN,論文 (ろんぶん),luận văn|論文を書くために、資料を集めています。
LẠC,楽しみ (たのしみ),niềm vui|旅行は私の楽しみです。
,ミキサー,máy xay|ミキサーはジュースを作るのに使います。
DƯỢC PHỮU,薬缶 (やかん),ấm đun nước|薬缶でお湯を沸かします。
CÁI,蓋 (ふた),nắp|鍋の蓋を取ってください。
THUYÊN BẠT,栓抜き (せんぬき),cái bật nắp chai|栓抜きはびんを開けるのに使います。
