# Dịch câu & đoạn văn — N4 → N3
#
# Nguồn: file "bài tập.docx" (300 câu trắc nghiệm N4→N3). Khối "chọn kanji" của file
# chỉ có từ đơn nên không dùng được ở đây; hai khối còn lại thì dùng hết:
#   - Khối đọc kanji  → câu giữ nguyên.
#   - Khối ngữ pháp   → câu vốn có chỗ trống （　　　）, ở đây đã điền đáp án đúng
#                       thành câu hoàn chỉnh, vì bài này luyện DỊCH chứ không phải
#                       chọn đáp án.
# Đã bỏ 8 câu trùng nghĩa với câu khác (chỉ khác một trạng từ hoặc chủ ngữ), vì dịch
# đi dịch lại cùng một câu không luyện thêm được gì.
#
# Đoạn văn ở nhóm cuối do nối các câu cùng chủ đề trong chính file trên, thêm từ nối
# cho liền mạch — file gốc không có đoạn văn nào.
#
# Định dạng mỗi dòng, ngăn cách bằng dấu | :
#   TIẾNG NHẬT|TIẾNG VIỆT
# Dòng bắt đầu bằng ## là tiêu đề nhóm, bằng # là ghi chú.

## Câu ngắn — từ vựng Hán tự
日本の文化を勉強しています。|Tôi đang học văn hóa Nhật Bản.
来週、東京へ出張します。|Tuần sau tôi sẽ đi công tác ở Tokyo.
明日の予定を確認してください。|Hãy xác nhận lịch trình ngày mai.
先生に質問しました。|Tôi đã hỏi thầy giáo một câu hỏi.
毎日、漢字を練習しています。|Hằng ngày tôi luyện chữ Hán.
駅まで友達を迎えに行きます。|Tôi ra ga đón bạn.
何かあったら連絡してください。|Nếu có chuyện gì thì hãy liên lạc cho tôi.
この町はとても有名です。|Thị trấn này rất nổi tiếng.
駅の近くに銀行があります。|Gần ga có ngân hàng.
この問題は簡単です。|Vấn đề này đơn giản.
田中さんは英語が上手です。|Anh Tanaka giỏi tiếng Anh.
新しい仕事を始めました。|Tôi đã bắt đầu công việc mới.
父は会社で働いています。|Bố tôi đang làm việc ở công ty.
荷物を送ります。|Tôi gửi hành lý.
荷物がまだ届いていません。|Hành lý vẫn chưa đến nơi.
銀行でお金を下ろしました。|Tôi đã rút tiền ở ngân hàng.
道で財布を落としました。|Tôi đã đánh rơi ví trên đường.
分からない言葉を辞書で調べます。|Tôi tra từ không hiểu trong từ điển.
先生の説明を理解しました。|Tôi đã hiểu lời thầy giáo giải thích.
仕事の内容を説明してください。|Hãy giải thích nội dung công việc.
この仕事には経験が必要です。|Công việc này cần kinh nghiệm.
日本で働いた経験があります。|Tôi có kinh nghiệm làm việc ở Nhật.
日本語の能力を高めたいです。|Tôi muốn nâng cao năng lực tiếng Nhật.
会社の規則を守ってください。|Hãy tuân thủ quy định của công ty.
毎月、給料をもらいます。|Hằng tháng tôi nhận lương.
新しい製品を作っています。|Chúng tôi đang làm sản phẩm mới.
この機械は日本で作られました。|Chiếc máy này được sản xuất ở Nhật.
ドアが開いています。|Cửa đang mở.
窓を閉めてください。|Hãy đóng cửa sổ lại.
電気を消してください。|Hãy tắt đèn.
電気が消えました。|Đèn đã tắt.
かばんに本を入れました。|Tôi đã cho sách vào cặp.
