# 日本語総まとめ N3 · 語彙 — キッチンで／リビングで
# Nguồn: Nihongo_Soumatome_N3-Goi.pdf, trang 12-13
# Định dạng: ÂM HÁN VIỆT,TIẾNG NHẬT (CÁCH ĐỌC),NGHĨA TIẾNG VIỆT
# Cột âm Hán Việt để TRỐNG: sách 総まとめ không chú âm Hán Việt.
# Chú giải tiếng Anh của sách đã bỏ: cột nghĩa chỉ còn tiếng Việt.
,キッチン,bếp
,台所 (だいどころ),bếp
,電子レンジ (でんしレンジ),lò vi sóng
,（お）茶わん (ちゃわん),bát ăn cơm
,ワイングラス,ly rượu vang
,コーヒーカップ,tách cà phê
,湯飲み (ゆのみ),chén trà
,冷蔵庫 (れいぞうこ),tủ lạnh
,ガスレンジ,bếp ga
,ガスコンロ,bếp ga
,ガラスのコップ,cốc thuỷ tinh
,レバー,cần gạt/ tay gạt
,流し (ながし),bồn rửa
,リビング,phòng khách
,居間 (いま),phòng khách
,窓ガラス (まどガラス),kính cửa sổ
,雨戸 (あまど),cửa chống mưa bão
,網戸 (あみど),cửa lưới chống côn trùng
,天井 (てんじょう),trần nhà
,床 (ゆか),sàn nhà
,コンセント,ổ cắm điện
,コード,dây điện
,エアコン,điều hoà
,ヒーター,lò sưởi
,じゅうたん,thảm
,カーペット,thảm
,水道の蛇口をひねる (すいどうのじゃぐちをひねる),vặn vòi nước
,水が凍る (みずがこおる),nước đóng băng
,氷になる (こおりになる),đóng thành đá
,冷凍して保存する (れいとうしてほぞんする),cấp đông để bảo quản
,残り物を温める (のこりものをあたためる),hâm nóng đồ ăn thừa
,ビールを冷やす (ビールをひやす),ướp lạnh bia
,ビールが冷えている (ビールがひえている),bia đang lạnh
,エアコンのリモコン,điều khiển điều hoà
,スイッチ,công tắc
,電源を入れる (でんげんをいれる),cắm điện/ bật nguồn
,電源を切る (でんげんをきる),rút điện/ tắt nguồn
,じゅうたんを敷く (じゅうたんをしく),trải thảm
,部屋を暖める (へやをあたためる),làm ấm phòng
,暖房をつける (だんぼうをつける),bật sưởi
,冷房が効いている (れいぼうがきいている),điều hoà mát tốt
,日当たりがいい (ひあたりがいい),nhiều nắng/ hướng nắng tốt
,日当たりが悪い (ひあたりがわるい),thiếu nắng/ hướng nắng kém
